scan_index,t_s,x_m,y_m,yaw_rad,confidence,median_submap_residual_m,median_wall_residual_m,valid_correspondence_count
0,1774771445.260521889,0.000000,0.105664,-0.001749,high,,0.195862,0
1,1774771445.336098909,-0.001079,0.097275,0.005556,high,0.023161,0.200168,54
2,1774771445.413656950,-0.001709,0.096163,0.005334,high,0.017632,0.184760,55
3,1774771445.465863466,-0.001260,0.097354,0.003990,high,0.015266,0.177465,55
4,1774771445.541680336,-0.000504,0.098963,0.006087,high,0.008487,0.199666,56
5,1774771445.618724823,-0.001764,0.097105,0.005730,high,0.008536,0.201455,55
6,1774771445.696002007,0.000083,0.098657,0.006305,high,0.007932,0.200181,55
7,1774771445.770982504,0.003788,0.097926,0.007034,high,0.006530,0.202501,56
8,1774771445.848366499,0.000718,0.097506,0.005732,high,0.004419,0.200543,55
9,1774771445.900819778,-0.010746,0.096795,-0.006687,high,0.005431,0.184389,55
10,1774771445.977152586,-0.006574,0.096899,-0.008538,high,0.008352,0.200470,55
11,1774771446.053730726,-0.008646,0.099363,0.000682,high,0.005047,0.187307,55
12,1774771446.130821943,-0.016351,0.098723,-0.008451,high,0.007277,0.182472,56
13,1774771446.207489729,-0.012863,0.099362,-0.012112,high,0.008884,0.203111,56
14,1774771446.258739710,-0.009663,0.099988,-0.000613,high,0.006574,0.204477,55
15,1774771446.336022615,-0.002997,0.102536,0.007235,high,0.006607,0.204611,55
16,1774771446.411853313,0.013744,0.100623,0.012107,high,0.007842,0.204502,56
17,1774771446.487965345,-0.004625,0.103543,0.008839,high,0.002796,0.205779,55
18,1774771446.566334963,0.013595,0.104269,0.019611,high,0.005472,0.203989,56
19,1774771446.641688585,-0.011054,0.102434,0.004517,high,0.015119,0.205485,54
20,1774771446.693923235,-0.004419,0.101533,0.002073,high,0.005971,0.188809,55
21,1774771446.772086143,-0.017532,0.102957,0.000496,high,0.004345,0.206402,54
22,1774771446.847782612,-0.004693,0.099242,0.000407,high,0.002730,0.186268,55
23,1774771446.923736811,-0.022241,0.098703,-0.011148,high,0.009194,0.203056,54
24,1774771447.000937462,-0.005025,0.099714,0.000395,high,0.000714,0.186683,55
25,1774771447.052444696,-0.021887,0.098713,-0.010394,high,0.000797,0.202647,54
26,1774771447.130290270,-0.011274,0.098925,-0.006758,high,0.019895,0.195105,56
27,1774771447.205306530,-0.022996,0.098655,-0.010168,high,0.001207,0.201462,54
28,1774771447.282810688,-0.005691,0.100224,-0.000131,high,0.001900,0.186120,56
29,1774771447.359862566,0.004652,0.101324,0.012281,high,0.010748,0.203899,55
30,1774771447.434958935,-0.000401,0.101494,-0.000649,high,0.014256,0.206427,56
31,1774771447.489559412,-0.023267,0.097831,-0.011075,high,0.005251,0.201048,55
32,1774771447.563604593,-0.007206,0.101686,0.002150,high,0.004892,0.205384,55
33,1774771447.641145229,-0.023372,0.099542,-0.008071,high,0.002617,0.200777,55
34,1774771447.717834949,0.015026,0.103598,0.020574,high,0.008173,0.183913,55
35,1774771447.794355869,-0.005350,0.098144,-0.008381,high,0.010514,0.201078,56
36,1774771447.869940996,0.012915,0.105353,0.019129,high,0.003018,0.188392,55
37,1774771447.924048424,-0.000733,0.102315,0.003671,high,0.006299,0.200371,55
38,1774771447.999722242,0.012921,0.106912,0.018405,high,0.001490,0.185554,55
39,1774771448.075694084,0.017863,0.101811,0.028605,high,0.011534,0.202321,56
40,1774771448.152173758,-0.010716,0.099739,-0.008581,high,0.008888,0.183088,55
41,1774771448.229493856,-0.020230,0.101377,-0.006627,high,0.012757,0.202634,56
42,1774771448.280624628,-0.011641,0.100196,-0.007497,high,0.016626,0.206114,54
43,1774771448.358502150,-0.014247,0.103357,-0.000411,high,0.012191,0.204592,55
44,1774771448.434418917,-0.010848,0.102726,0.004231,high,0.007485,0.188952,57
45,1774771448.510372639,-0.023381,0.101049,-0.015241,high,0.007568,0.203229,56
46,1774771448.587430477,-0.003494,0.100923,-0.013754,high,0.006835,0.184121,55
47,1774771448.664199829,0.032437,0.100069,-0.006641,high,0.011323,0.188000,57
48,1774771448.716723919,0.047133,0.100679,-0.007704,high,0.010001,0.169446,57
49,1774771448.793484688,0.073073,0.093064,-0.038986,high,0.008087,0.204319,58
50,1774771448.870238543,0.100560,0.095775,-0.030780,high,0.008983,0.185714,57
51,1774771448.946450233,0.141588,0.092691,-0.046919,high,0.007624,0.189839,57
52,1774771449.022771835,0.184516,0.088561,-0.063413,high,0.007998,0.196061,57
53,1774771449.099553585,0.226280,0.083281,-0.066754,high,0.008700,0.199870,57
54,1774771449.151387691,0.268347,0.077689,-0.082249,high,0.006945,0.234904,58
55,1774771449.227776527,0.316208,0.068278,-0.102288,high,0.006606,0.203375,57
56,1774771449.304468870,0.366830,0.056032,-0.119212,high,0.006561,0.211116,55
57,1774771449.382133007,0.419139,0.045436,-0.126077,high,0.007604,0.207871,55
58,1774771449.458859682,0.479293,0.034102,-0.138005,high,0.007301,0.216404,54
59,1774771449.534552336,0.528166,0.018825,-0.157578,high,0.008195,0.218656,55
60,1774771449.611541986,0.579616,-0.001585,-0.188767,high,0.010887,0.271381,55
61,1774771449.662831306,0.637801,-0.020755,-0.212408,high,0.010210,0.315801,56
62,1774771449.740154028,0.700810,-0.039539,-0.222215,high,0.009298,0.353276,57
63,1774771449.816743851,0.760384,-0.061742,-0.240109,high,0.011217,0.332152,57
64,1774771449.894172668,0.821202,-0.082785,-0.269320,high,0.010437,0.330813,58
65,1774771449.971673489,0.868702,-0.100593,-0.276327,high,0.009282,0.332805,59
66,1774771450.046082973,0.911609,-0.119763,-0.286992,high,0.009718,0.358350,57
67,1774771450.123450994,0.953614,-0.137001,-0.313490,high,0.006881,0.364175,56
68,1774771450.200248480,0.989597,-0.152699,-0.336318,high,0.008731,0.441913,56
69,1774771450.251636505,1.031328,-0.167518,-0.341919,high,0.008484,0.459128,58
70,1774771450.328543425,1.059035,-0.180659,-0.336484,high,0.008388,0.403696,58
71,1774771450.406224966,1.080053,-0.191424,-0.342130,high,0.006671,0.396621,57
72,1774771450.483584166,1.101594,-0.196057,-0.343500,high,0.009045,0.404346,58
73,1774771450.558635712,1.111898,-0.203443,-0.353141,high,0.007256,0.441599,58
74,1774771450.636230707,1.134958,-0.212873,-0.356361,high,0.006380,0.357118,57
75,1774771450.712327480,1.143700,-0.221810,-0.349645,high,0.008341,0.401671,58
76,1774771450.763549089,1.139744,-0.222505,-0.349177,high,0.011287,0.370554,58
77,1774771450.841925383,1.149595,-0.225866,-0.354860,high,0.009682,0.378292,58
78,1774771450.918314219,1.146974,-0.228074,-0.355181,high,0.006524,0.358245,56
79,1774771450.995712042,1.140481,-0.221298,-0.355426,high,0.004468,0.365211,56
80,1774771451.070300102,1.163112,-0.220283,-0.330024,high,0.009813,0.378896,57
81,1774771451.147081614,1.159214,-0.222054,-0.323636,high,0.004557,0.380979,57
82,1774771451.224718094,1.153707,-0.219729,-0.322152,high,0.006392,0.422783,56
83,1774771451.276105642,1.158393,-0.222369,-0.318058,high,0.003635,0.382765,57
84,1774771451.353250265,1.142411,-0.221912,-0.353218,high,0.003542,0.410716,58
85,1774771451.430914879,1.146418,-0.219417,-0.347381,high,0.005167,0.368187,57
86,1774771451.506124735,1.166510,-0.216941,-0.314396,high,0.006418,0.362774,57
87,1774771451.582166672,1.152027,-0.224466,-0.322974,high,0.004347,0.382990,57
88,1774771451.659396410,1.140893,-0.224621,-0.346675,high,0.005065,0.411067,57
89,1774771451.735885620,1.145413,-0.220130,-0.335853,high,0.004394,0.365870,57
90,1774771451.788023949,1.150567,-0.224576,-0.324693,high,0.001964,0.390171,57
91,1774771451.865821123,1.136780,-0.224105,-0.342853,high,0.005946,0.410961,58
92,1774771451.941256046,1.162899,-0.219880,-0.308326,high,0.004679,0.369821,57
93,1774771452.017236948,1.158800,-0.224419,-0.307928,high,0.007246,0.434321,56
94,1774771452.094520092,1.143650,-0.222691,-0.335082,high,0.004555,0.365163,58
95,1774771452.171419859,1.167670,-0.218512,-0.303903,high,0.006473,0.362523,57
96,1774771452.223053694,1.148255,-0.222868,-0.335409,high,0.006739,0.413401,58
97,1774771452.300991297,1.171712,-0.215655,-0.298476,high,0.011438,0.344750,57
98,1774771452.376425743,1.157722,-0.222738,-0.304587,high,0.004546,0.435023,56
99,1774771452.454528570,1.142797,-0.223804,-0.333027,high,0.003315,0.363539,57
100,1774771452.529457331,1.164398,-0.212943,-0.320777,high,0.008788,0.403705,56
101,1774771452.605988741,1.166885,-0.216608,-0.311187,high,0.007414,0.425211,58
102,1774771452.658974171,1.172527,-0.217058,-0.303254,high,0.004658,0.341284,57
103,1774771452.734606743,1.154174,-0.219531,-0.308433,high,0.003956,0.389251,57
104,1774771452.812090635,1.139636,-0.221453,-0.336607,high,0.003931,0.364263,58
105,1774771452.889863968,1.153968,-0.222556,-0.314623,high,0.008761,0.355308,57
106,1774771452.965626001,1.173237,-0.210766,-0.291393,high,0.008957,0.437497,58
107,1774771453.042216539,1.172243,-0.215396,-0.304611,high,0.002816,0.376883,56
108,1774771453.118435383,1.162370,-0.221761,-0.306463,high,0.006813,0.389905,57
109,1774771453.172065496,1.175618,-0.213143,-0.301756,high,0.009114,0.382953,58
110,1774771453.247342825,1.152828,-0.223045,-0.315143,high,0.001355,0.396585,56
111,1774771453.324326515,1.167433,-0.214650,-0.299164,high,0.005993,0.432074,58
112,1774771453.400908947,1.174606,-0.214376,-0.284208,high,0.009129,0.383836,57
113,1774771453.478969574,1.167759,-0.219420,-0.298428,high,0.007043,0.395563,57
114,1774771453.552942753,1.168187,-0.217124,-0.305252,high,0.005354,0.380210,57
115,1774771453.606182575,1.150719,-0.222336,-0.309963,high,0.005026,0.357309,57
116,1774771453.682827950,1.170229,-0.218312,-0.292584,high,0.005048,0.395208,57
117,1774771453.758445501,1.171879,-0.218696,-0.303133,high,0.003133,0.377918,58
118,1774771453.837190151,1.149241,-0.221540,-0.306397,high,0.005088,0.358355,57
119,1774771453.913662672,1.169854,-0.217018,-0.292475,high,0.002835,0.395984,57
120,1774771453.989783049,1.170011,-0.216085,-0.304144,high,0.002809,0.379142,57
121,1774771454.065389395,1.150362,-0.222814,-0.302884,high,0.002836,0.357180,57
122,1774771454.117786646,1.158375,-0.219944,-0.316553,high,0.008191,0.424186,57
123,1774771454.193765640,1.169530,-0.217508,-0.303083,high,0.002281,0.377617,57
124,1774771454.271005154,1.163633,-0.223725,-0.298324,high,0.005804,0.399648,57
125,1774771454.347944736,1.158000,-0.219848,-0.313498,high,0.003084,0.422102,58
126,1774771454.424770594,1.158718,-0.217998,-0.306349,high,0.005628,0.418848,56
127,1774771454.501167536,1.148985,-0.222977,-0.302182,high,0.001686,0.357098,57
