angle_deg,range_m,count
40.000000,1.140250,1
43.000000,1.059750,1
45.000000,1.008000,1
48.000000,0.963250,1
50.000000,0.925250,1
53.000000,0.890000,1
57.000000,0.514500,1
59.000000,0.484250,1
62.000000,0.469500,1
64.000000,0.462250,1
66.999999,0.496750,1
68.999999,0.535750,1
70.999999,0.567750,1
74.999999,0.407750,1
76.999999,0.425750,1
78.999999,0.435000,1
82.999999,0.373000,1
83.999999,0.381750,1
86.999999,0.383500,1
88.999999,0.424750,1
91.999999,0.432000,1
93.999999,0.406750,1
95.999999,0.429250,1
98.999999,0.444000,1
100.999999,0.444000,1
103.999999,0.453250,1
105.999999,0.451500,1
108.999999,0.410500,1
110.999999,0.421250,1
113.999999,0.427500,1
115.999999,0.434250,1
117.999999,0.442000,1
120.999999,0.450500,1
122.999999,0.460750,1
125.999999,0.472250,1
127.999999,0.485000,1
130.999999,0.499250,1
132.999999,0.516000,1
134.999999,0.534250,1
137.999999,0.555000,1
139.999999,0.577500,1
142.999999,0.605000,1
144.999999,0.625750,1
146.999999,0.709500,1
149.999999,0.697000,1
151.999999,0.742500,1
157.999999,2.125000,1
160.999999,2.133000,1
162.999999,2.085750,1
165.999999,2.043000,1
167.999999,2.012750,1
170.999999,1.980750,1
172.999999,1.933750,1
175.999999,1.923750,1
177.999999,1.915250,1
180.999999,1.904500,1
182.999999,1.898250,1
185.999999,1.987500,1
187.999999,1.984250,1
190.999999,1.994750,1
192.999999,1.820500,1
195.999998,2.002500,1
197.999998,2.041000,1
200.999998,1.881750,1
202.999998,1.630500,1
205.999998,1.452750,1
208.999998,1.308500,1
210.999998,1.195250,1
213.999998,1.097500,1
215.999998,1.019750,1
218.999998,0.954750,1
220.999998,0.897750,1
223.999998,0.847000,1
226.999998,0.805000,1
228.999998,0.769250,1
231.999998,0.735000,1
233.999998,0.707750,1
236.999998,0.682000,1
239.999998,0.659250,1
241.999998,0.641000,1
244.999998,0.623750,1
246.999998,0.607500,1
249.999998,0.596250,1
251.999998,0.584250,1
254.999998,0.574500,1
256.999998,0.566500,1
259.999998,0.559250,1
261.999998,0.553250,1
264.999998,0.549500,1
266.999998,0.546000,1
269.999998,0.543000,1
271.999998,0.541750,1
274.999998,0.541750,1
276.999998,0.542000,1
279.999998,0.544750,1
281.999998,0.546750,1
284.999998,0.550250,1
286.999998,0.554500,1
289.999998,0.561000,1
291.999998,0.569500,1
294.999998,0.577500,1
296.999998,0.587250,1
298.999998,0.598750,1
301.999998,0.611500,1
303.999998,0.626500,1
306.999998,0.642250,1
308.999998,0.660500,1
310.999998,0.681750,1
313.999998,0.706000,1
315.999998,0.731500,1
318.999998,0.763000,1
320.999998,0.795000,1
323.999997,0.832500,1
325.999997,0.874500,1
327.999997,0.923250,1
